price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 1.17 Cr,11700000,"2 BHK Flat for Sale in Amanora Park Town, Pune",2,Carpet Area 823 sqft,823,Amanora Park Town,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1070-Sq-ft-Multistorey-Apartment-FOR-Sale-Amanora-Park-Town-in-Pune&id=4d423830353032393339
₹ 1.89 Cr,18900000,"2 BHK Flat for Sale in Shivajinagar, Pune",2,Carpet Area 1010 sqft,1010,Shivajinagar,Pune,https://www.magicbricks.com/godrej-sherwood-shivajinagar-pune-pdpid-4d4235303033383038
₹ 85 Lac,8500000,"2 BHK Flat for Sale in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",2,Carpet Area 700 sqft,700,Phase 3 Hinjewadi Rajiv Gandhi Infotech Park,Pune,https://www.magicbricks.com/godrej-evergreen-square-hinjewadi-phase-3-pune-pdpid-4d4235343236303035
₹ 95 Lac,9500000,"2 BHK Flat for Sale in Shankar Kalat Nagar, Pune",2,Carpet Area 950 sqft,950,Shankar Kalat Nagar,Pune,https://www.magicbricks.com/paradiso-apartment-shankar-kalat-nagar-pune-pdpid-4d4235303034323636
₹ 85 Lac,8500000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 964 sqft,964,Hinjawadi,Pune,https://www.magicbricks.com/megapolis-sunway-hinjewadi-pune-pdpid-4d4235303533373730
₹ 85.6 Lac,8560000,"3 BHK Flat for Sale in Keshav Nagar Mundhwa, Pune",3,Carpet Area 935 sqft,935,Keshav Nagar Mundhwa,Pune,https://www.magicbricks.com/unique-legacy-keshav-nagar-pune-pdpid-4d4235313238303733
₹ 55 Lac,5500000,"2 BHK Flat for Sale in Chikhali Pimpri Chinchwad, Pune",2,Super Area 650 sqft,650,Chikhali Pimpri Chinchwad,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Chikhali-in-Pune&id=4d423831393530363337
₹ 1.62 Cr,16200000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 1088 sqft,1088,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.38 Cr,13799999,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 997 sqft,997,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 2.40 Cr,24000000,"4 BHK Flat for Sale in Amanora Park Town, Pune",4,Carpet Area 1250 sqft,1250,Amanora Park Town,Pune,https://www.magicbricks.com/amanora-future-towers-amanora-park-town-pune-pdpid-4d4235303833363736
₹ 1.10 Cr,11000000,"2 BHK Flat for Sale in Phase 1 Hinjewadi Rajiv Gandhi Infotech Park, Pune",2,Super Area 795 sqft,795,Phase 1 Hinjewadi Rajiv Gandhi Infotech Park,Pune,https://www.magicbricks.com/rahul-aston-hinjewadi-phase-1-pune-pdpid-4d4235323138333733
₹ 30 Lac,3000000,2 BHK Flat for Sale in Pune,2,Carpet Area 670 sqft,670,Pune,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-670-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423537383638373031
₹ 3.05 Cr,30500000,"4 BHK Flat for Sale in EON Free Zone, Kharadi, Pune",4,Carpet Area 1717 sqft,1717,EON Free Zone,Pune,https://www.magicbricks.com/lodha-giardino-eon-free-zone-pune-pdpid-4d4235343139303233
₹ 1.38 Cr,13799999,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 991 sqft,991,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.80 Cr,18000000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 1291 sqft,1291,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.80 Cr,18000000,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 1278 sqft,1278,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 2.07 Cr,20700000,"4 BHK Flat for Sale in Hinjawadi, Pune",4,Carpet Area 1395 sqft,1395,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.20 Cr,12000000,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 862 sqft,862,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.60 Cr,16000000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 1122 sqft,1122,Hinjawadi,Pune,https://www.magicbricks.com/lodha-panache-hinjewadi-pune-pdpid-4d4235343037393039
₹ 1.40 Cr,14000000,"3 BHK Flat for Sale in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",3,Carpet Area 1074 sqft,1074,Phase 3 Hinjewadi Rajiv Gandhi Infotech Park,Pune,https://www.magicbricks.com/godrej-evergreen-square-hinjewadi-phase-3-pune-pdpid-4d4235343236303035
₹ 1.66 Cr,16600000,"2 BHK Flat for Sale in Hinjawadi, Pune",2,Carpet Area 667 sqft,667,Hinjawadi,Pune,https://www.magicbricks.com/rama-melange-residences-phase-iii-hinjewadi-pune-pdpid-4d4235313836323839
₹ 96.6 Lac,9660000,"3 BHK Flat for Sale in Wakad, Pune",3,Carpet Area 1007 sqft,1007,Wakad,Pune,https://www.magicbricks.com/divine-palm-springs-wakad-pune-pdpid-4d4235333139313735
₹ 79 Lac,7900000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 964 sqft,964,Hinjawadi,Pune,https://www.magicbricks.com/megapolis-sunway-hinjewadi-pune-pdpid-4d4235303533373730
₹ 50 Lac,5000000,"2 BHK Flat for Sale in Shivane, Pune",2,Super Area 1430 sqft,1430,Shivane,Pune,https://www.magicbricks.com/sneha-vihar-shivane-pune-pdpid-4d4235303035343931
₹ 1.35 Cr,13500000,"3 BHK Flat for Sale in Balewadi, Pune",3,Carpet Area 1120 sqft,1120,Balewadi,Pune,https://www.magicbricks.com/naiknavare-avon-vista-balewadi-pune-pdpid-4d4235303835303632
₹ 1.12 Cr,11200000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 962 sqft,962,Hinjawadi,Pune,https://www.magicbricks.com/vilas-javdekar-yashone-hinjewadi-phase-1-hinjewadi-pune-pdpid-4d4235313232303035
₹ 89.4 Lac,8940000,"3 BHK Flat for Sale in Punawale, Pimpri Chinchwad, Pune",3,Carpet Area 1053 sqft,1053,Punawale,Pune,https://www.magicbricks.com/akshara-grandeur-punawale-pune-pdpid-4d4235343231393431
₹ 3.45 Cr,34500000,"4 BHK Flat for Sale in Kharadi, Pune",4,Carpet Area 2150 sqft,2150,Kharadi,Pune,https://www.magicbricks.com/lodha-estilo-kharadi-pune-pdpid-4d4235343138323837
₹ 1.07 Cr,10700000,"3 BHK Flat for Sale in Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, Pune",3,Carpet Area 972 sqft,972,Phase 3 Hinjewadi Rajiv Gandhi Infotech Park,Pune,https://www.magicbricks.com/saheel-landmarc-hinjewadi-phase-3-pune-pdpid-4d4235343335333931
₹ 82 Lac,8200000,"3 BHK Flat for Sale in Hinjawadi, Pune",3,Carpet Area 964 sqft,964,Hinjawadi,Pune,https://www.magicbricks.com/megapolis-sunway-hinjewadi-pune-pdpid-4d4235303533373730
₹ 90 Lac,9000000,"2 BHK Flat for Sale in Wakad, Pune",2,Carpet Area 830 sqft,830,Wakad,Pune,https://www.magicbricks.com/golecha-ethos-wakad-pune-pdpid-4d4235303933343139
₹ 1.41 Cr,14100000,"3 BHK Flat for Sale in New Kalyani Nagar, Pune",3,Carpet Area 1193 sqft,1193,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
₹ 92 Lac,9200000,"3 BHK Flat for Sale in NIBM Annexe Area, Pune",3,Carpet Area 1012 sqft,1012,NIBM Annexe Area,Pune,https://www.magicbricks.com/majestique-euriska-nibm-annexe-pune-pdpid-4d4235303731333736
₹ 1.33 Cr,13300000,"3 BHK Flat for Sale in Tathawade Pimpri Chinchwad, Pune",3,Carpet Area 1077 sqft,1077,Tathawade Pimpri Chinchwad,Pune,https://www.magicbricks.com/nirman-cosmopolis-tathawade-pune-pdpid-4d4235343136323339
₹ 91 Lac,9100000,"2 BHK Flat for Sale in Wakad, Pune",2,Carpet Area 896 sqft,896,Wakad,Pune,https://www.magicbricks.com/eisha-zenith-wakad-pune-pdpid-4d4235303033393037
₹ 92 Lac,9200000,"2 BHK Flat for Sale in Bhugaon, Bavdhan, Pune",2,Carpet Area 1035 sqft,1035,Bhugaon,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1275-Sq-ft-Multistorey-Apartment-FOR-Sale-Bhugaon-in-Pune&id=4d423830373936313139
₹ 75 Lac,7500000,"2 BHK Flat for Sale in Warje, Pune",2,Super Area 900 sqft,900,Warje,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Warje-in-Pune&id=4d423634373733363639
₹ 75 Lac,7500000,"2 BHK Flat for Sale in Ravet, Pimpri Chinchwad, Pune",2,Super Area 1063 sqft,1063,Ravet,Pune,https://www.magicbricks.com/pharande-felicity-ravet-pune-pdpid-4d4235313236383033
