price_num,bhk_number,area_sqft,price_per_sqft,locality,city,listing_url
5600000,2,635,8819,Kondhwa,Pune,https://www.magicbricks.com/fortune-prospero-kondhwa-pune-pdpid-4d4235333336323031
2000000,1,486,4115,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-486-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423832303232393135
8600000,2,762,11286,Kharadi,Pune,https://www.magicbricks.com/flamante-by-vtp-luxe-phase-1-kharadi-pune-pdpid-4d4235343135383331
1150000,1,404,2847,Sanaswadi,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-404-Sq-ft-Multistorey-Apartment-FOR-Sale-Sanaswadi-in-Pune&id=4d423739333933393433
10500000,2,840,12500,New Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-the-collection-new-kalyani-nagar-pune-pdpid-4d4235313236333635
2900000,1,620,4677,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-680-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423739333933343439
4600000,2,742,6199,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
4700000,2,717,6555,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
7000000,3,844,8294,Wagholi,Pune,https://www.magicbricks.com/majestique-city-wagholi-pune-pdpid-4d4235303230363832
3200000,1,490,6531,Wagholi,Pune,https://www.magicbricks.com/belle-vie-wagholi-pune-pdpid-4d4235303230363737
5500000,2,752,7314,Wagholi,Pune,https://www.magicbricks.com/belle-vie-wagholi-pune-pdpid-4d4235303230363737
4000000,2,576,6944,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4200000,2,626,6709,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4400000,2,641,6864,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4700000,2,652,7209,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4500000,2,680,6618,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
6370000,2,750,8493,Baner,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Baner-in-Pune&id=4d423532393337353435
4850000,2,890,5449,Pirangut,Pune,https://www.magicbricks.com/trademark-life-pirangut-pune-pdpid-4d4235303033313231
17000000,3,1089,15611,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1525-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636373637
3500000,1,580,6034,Pimpri Chinchwad,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-580-Sq-ft-Multistorey-Apartment-FOR-Sale-Pimpri-Chinchwad-in-Pune&id=4d423737393431303937
8300000,2,1026,8090,Wakad,Pune,https://www.magicbricks.com/magnova-manor-wakad-pune-pdpid-4d4235303930383734
6000000,2,780,7692,Pune,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1010-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423739333332303937
2700000,1,418,6459,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
3000000,1,475,6316,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
4200000,2,680,6176,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
2790000,1,475,5874,Kondhwa,Pune,https://www.magicbricks.com/sunshine-hills-kondhwa-pune-pdpid-4d4235303032353331
5000000,2,648,7716,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
4500000,2,662,6798,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
2800000,1,432,6481,Wagholi,Pune,https://www.magicbricks.com/manav-silver-springs-wagholi-pune-pdpid-4d4235303230363631
12200000,2,787,15502,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1102-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636363737
23000000,4,1415,16254,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/4-BHK-1981-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636343537
17600000,3,1101,15985,Bibwewadi,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1541-Sq-ft-Multistorey-Apartment-FOR-Sale-Bibwewadi-in-Pune&id=4d423638323636333137
7000000,2,850,8235,Bhukum,Pune,https://www.magicbricks.com/skyi-manas-lake-bhukum-pune-pdpid-4d4235303730393633
12000000,2,950,12632,Eon Free Zone,Pune,https://www.magicbricks.com/kolte-patil-cheryl-eon-free-zone-pune-pdpid-4d4235303231313932
11100000,2,1120,9911,Bavdhan,Pune,https://www.magicbricks.com/nyati-esplanade-bavdhan-bavdhan-pune-pdpid-4d4235303033303238
5500000,3,821,6699,Pirangut,Pune,https://www.magicbricks.com/vastushodh-urban-gram-pirangut-pirangut-pune-pdpid-4d4235303432363739
8000000,2,880,9091,Pashan Sus Road,Pune,https://www.magicbricks.com/windows-housing-society-pashan-sus-road-pune-pdpid-4d4235323130373239
1500000,1,445,3371,Kondhwa,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-445-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Kondhwa-in-Pune&id=4d423831343532393833
10500000,3,1044,10057,Phase 3 Hinjewadi Rajiv Gandhi Infotech Park,Pune,https://www.magicbricks.com/megapolis-sangria-towers-hinjewadi-phase-3-pune-pdpid-4d4235303033353031
11500000,3,1106,10398,Nibm Road,Pune,https://www.magicbricks.com/sunshree-gold-nibm-road-pune-pdpid-4d4235303838323631
3100000,1,550,5636,Hadapsar,Pune,https://www.magicbricks.com/dipali-dreams-aakruti-hadapsar-pune-pdpid-4d4235303732353238
8200000,2,950,8632,Hinjawadi,Pune,https://www.magicbricks.com/megapolis-sparklet-hinjewadi-pune-pdpid-4d4235313134363239
4300000,1,441,9751,Ambegaon,Pune,https://www.magicbricks.com/sadguru-govind-basil-ambegaon-pune-pdpid-4d4235313539323537
22500000,3,1397,16106,Baner,Pune,https://www.magicbricks.com/yashada-jubilee-hills-baner-pune-pdpid-4d4235333332353533
23100000,3,1439,16053,Baner,Pune,https://www.magicbricks.com/yashada-jubilee-hills-baner-pune-pdpid-4d4235333332353533
20500000,3,1150,17826,Baner,Pune,https://www.magicbricks.com/yashada-jubilee-hills-baner-pune-pdpid-4d4235333332353533
34800000,4,1901,18306,Baner,Pune,https://www.magicbricks.com/yashada-jubilee-hills-baner-pune-pdpid-4d4235333332353533
20400000,3,1131,18037,Baner,Pune,https://www.magicbricks.com/yashada-jubilee-hills-baner-pune-pdpid-4d4235333332353533
4700000,1,439,10706,Pimple Saudagar,Pune,https://www.magicbricks.com/dwarka-sai-pimple-saudagar-pune-pdpid-4d4235303639383034
3100000,1,650,4769,Benkar Nagar,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Benkar-Nagar-in-Pune&id=4d423337363036323937
300000,1,200,1500,Wadgaon Sheri,Pune,https://www.magicbricks.com/bramha-corp-smart-wadgaon-sheri-pune-pdpid-4d4235333436323933
5700000,1,423,13475,Warje,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-630-Sq-ft-Multistorey-Apartment-FOR-Sale-Warje-in-Pune&id=4d423831353837353133
5000000,2,825,6061,Hadapsar,Pune,https://www.magicbricks.com/manav-swapnalok-hadapsar-pune-pdpid-4d4235303235393735
4000000,1,477,8386,Alandi,Pune,https://www.magicbricks.com/navnath-naath-residency-alandi-pune-pdpid-4d4235333533303735
3200000,1,641,4992,Moshi,Pune,https://www.magicbricks.com/ishwar-river-residency-moshi-pune-pdpid-4d4235303231363330
4000000,1,572,6993,Kondhwa,Pune,https://www.magicbricks.com/anjani-amores-kondhwa-pune-pdpid-4d4235303432343438
4500000,2,716,6285,Kondhwa,Pune,https://www.magicbricks.com/anjani-amores-kondhwa-pune-pdpid-4d4235303432343438
2100000,1,396,5303,Khed Shivapur Kondanpur Road,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Khed-Shivapur-Kondanpur-Road-in-Pune&id=4d423735363734353331
3500000,2,680,5147,Satara Road,Pune,https://www.magicbricks.com/suvidha-vrundavan-satara-road-pune-pdpid-4d4235303432343237
2100000,1,402,5224,Khed Shivapur Kondanpur Road,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-558-Sq-ft-Multistorey-Apartment-FOR-Sale-Khed-Shivapur-Kondanpur-Road-in-Pune&id=4d423735363734353235
3200000,2,659,4856,Satara Road,Pune,https://www.magicbricks.com/suvidha-vrundavan-satara-road-pune-pdpid-4d4235303432343237
4100000,2,629,6518,Hadapsar,Pune,https://www.magicbricks.com/simpli-city-phase-ii-hadapsar-pune-pdpid-4d4235303432343131
26500000,3,1364,19428,Baner,Pune,https://www.magicbricks.com/kalpataru-jade-residences-baner-pune-pdpid-4d4235303731303938
10000000,2,835,11976,Wakad,Pune,https://www.magicbricks.com/hs-lagom-homes-wakad-pune-pdpid-4d4235313233383033
5000000,1,475,10526,Baner,Pune,https://www.magicbricks.com/saarrthi-souvenir-baner-pune-pdpid-4d4235303238363833
4700000,2,740,6351,Keshav Nagar Chinchwad,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-987-Sq-ft-Multistorey-Apartment-FOR-Sale-Keshav-Nagar-Chinchwad-in-Pune&id=4d423832313838323637
14500000,3,1492,9718,Mundhwa,Pune,https://www.magicbricks.com/kanchan-osian-almanova-mundhwa-pune-pdpid-4d4235343232363735
8000000,2,804,9950,Mundhwa,Pune,https://www.magicbricks.com/puravankara-purva-silversands-mundhwa-pune-pdpid-4d4235303735383436
9700000,2,900,10778,Magarpatta,Pune,https://www.magicbricks.com/shubh-casa-feliz-magarpatta-city-pune-pdpid-4d4235303834333631
9500000,2,750,12667,Hanuman Nagar Keshav Nagar,Pune,https://www.magicbricks.com/godrej-infinity-hanuman-nagar-keshav-nagar-pune-pdpid-4d4235303735303938
14000000,3,1000,14000,Thite Nagar,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Multistorey-Apartment-FOR-Sale-Thite-Nagar-in-Pune&id=4d423830363938363633
3200000,1,485,6598,Nandoshi Road,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-585-Sq-ft-Multistorey-Apartment-FOR-Sale-Nandoshi-Road-in-Pune&id=4d423733383733333731
18700000,3,1102,16969,Samarth Colony Baner,Pune,https://www.magicbricks.com/supreme-estia-samarth-colony-pune-pdpid-4d4235313437333839
17000000,3,1250,13600,Kharadi,Pune,https://www.magicbricks.com/ganga-liviano-kharadi-pune-pdpid-4d4235313435343037
11700000,2,840,13929,Viman Nagar,Pune,https://www.magicbricks.com/gera-foliage-viman-nagar-pune-pdpid-4d4235303330313130
17000000,3,1167,14567,Veerbhadra Nagar,Pune,https://www.magicbricks.com/anand-veerbhadra-nagar-pune-pdpid-4d4235313538383239
5100000,2,684,7456,Punawale,Pune,https://www.magicbricks.com/shree-bhagwati-rudraksh-punawale-pune-pdpid-4d4235303432323137
5500000,2,697,7891,Lohegaon,Pune,https://www.magicbricks.com/shree-ram-hill-view-lohegaon-pune-pdpid-4d4235303432323035
3000000,1,468,6410,Lohegaon,Pune,https://www.magicbricks.com/shree-ram-hill-view-lohegaon-pune-pdpid-4d4235303432323035
6000000,2,750,8000,Kothrud,Pune,https://www.magicbricks.com/ratnamala-complex-kothrud-pune-pdpid-4d4235313232343637
4750000,2,740,6419,Hadapsar,Pune,https://www.magicbricks.com/bk-jhala-nirmal-township-hadapsar-pune-pdpid-4d4235303034323133
9900000,2,747,13253,Ravet,Pune,https://www.magicbricks.com/arun-blu-ravet-pune-pdpid-4d4235303432313630
3800000,1,474,8017,Ravet,Pune,https://www.magicbricks.com/arun-blu-ravet-pune-pdpid-4d4235303432313630
7700000,2,582,13230,Nigdi,Pune,https://www.magicbricks.com/elegent-residency-nigdi-pune-pdpid-4d4235303432313136
10500000,2,776,13531,Thite Nagar,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1150-Sq-ft-Multistorey-Apartment-FOR-Sale-Thite-Nagar-in-Pune&id=4d423830363938353337
16500000,3,1280,12891,Wakad,Pune,https://www.magicbricks.com/mont-vert-tropez-wakad-pune-pdpid-4d4235303033323435
8500000,2,803,10585,Wakad,Pune,https://www.magicbricks.com/sukhwani-ambar-wakad-pune-pdpid-4d4235333437333135
21000000,3,1230,17073,Pimple Saudagar,Pune,https://www.magicbricks.com/samrath-the-westford-pimple-saudagar-pune-pdpid-4d4235303837373536
4200000,2,900,4667,Charholi Bk,Pune,https://www.magicbricks.com/rr-lunkad-akshay-srushti-charholi-budruk-pune-pdpid-4d4235333531353037
13500000,3,1153,11709,Ghorpadi,Pune,https://www.magicbricks.com/yashvastu-parkland-ghorpadi-pune-pdpid-4d4235303930383633
14000000,2,848,16509,Mahalunge,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1144-Sq-ft-Multistorey-Apartment-FOR-Sale-Mahalunge-in-Pune&id=4d423831393335323533
2500000,2,400,6250,Talegaon Dabhade,Pune,https://www.magicbricks.com/xrbia-smart-city-talegaon-ambi-talegaon-dabhade-pune-pdpid-4d4235303937333937
3700000,1,490,7551,Manjri,Pune,https://www.magicbricks.com/dreams-ragini-manjri-pune-pdpid-4d4235303831323738
17500000,3,1750,10000,Kalyani Nagar,Pune,https://www.magicbricks.com/bramha-sun-city-phase-2-kalyani-nagar-pune-pdpid-4d4235313139343535
14000000,2,1368,10234,Balewadi,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Balewadi-in-Pune&id=4d423739393730303731
30299999,4,1948,15554,Wanwadi,Pune,https://www.magicbricks.com/skyi-5-race-course-wanwadi-pune-pdpid-4d4235343137393733
7500000,2,847,8855,Wagholi,Pune,https://www.magicbricks.com/nyati-elan-wagholi-pune-pdpid-4d4235303431393930
70000000,4,3275,21374,Baner Gaon,Pune,https://www.magicbricks.com/amar-landmark-baner-gaon-pune-pdpid-4d4235303431393730
4200000,1,432,9722,Wakad,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Wakad-in-Pune&id=4d423735363734333635
7200000,2,594,12121,Wakad,Pune,https://www.magicbricks.com/sai-crest-wakad-pune-pdpid-4d4235303431393135
1200000,1,345,3478,Lohegaon,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-345-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Lohegaon-in-Pune&id=4d423733383730363939
5500000,2,668,8234,Ambegaon,Pune,https://www.magicbricks.com/veronica-park-ambegaon-pune-pdpid-4d4235303431383531
26200000,3,1680,15595,Eon Free Zone,Pune,https://www.magicbricks.com/gera-trinity-towers-eon-free-zone-pune-pdpid-4d4235303232313730
33000000,3,1298,25424,Shivajinagar,Pune,https://www.magicbricks.com/shree-venkatesh-laurel-shivajinagar-pune-pdpid-4d4235343139393639
6200000,2,750,8267,Nagar Road,Pune,https://www.magicbricks.com/menlo-homes-kharadi-next-nagar-road-pune-pdpid-4d4235313635303631
