price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
₹ 85 Lac,8500000.0,"2 BHK Flat for Sale in Kondhwa, Pune",2.0,Carpet Area 936 sqft,936.0,Kondhwa,Pune,https://www.magicbricks.com/marvel-albero-kondhwa-pune-pdpid-4d4235303230353332
₹ 23 Lac,2300000.0,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 537 sqft,537.0,Chakan,Pune,https://www.magicbricks.com/naiknavare-dwarka-township-chakan-pune-pdpid-4d4235303230323730
₹ 1.51 Cr,15100000.0,"3 BHK Flat for Sale in Bavdhan, Pune",3.0,Carpet Area 1213 sqft,1213.0,Bavdhan,Pune,https://www.magicbricks.com/nyati-equinox-bavdhan-pune-pdpid-4d4235333834343633
₹ 85 Lac,8500000.0,"2 BHK Flat for Sale in Wakad, Pune",2.0,Carpet Area 634 sqft,634.0,Wakad,Pune,https://www.magicbricks.com/opus-77-wakad-pune-pdpid-4d4235303330333638
₹ 4.15 Cr,41500000.0,"3 BHK Flat for Sale in Kharadi, Pune",3.0,Carpet Area 2200 sqft,2200.0,Kharadi,Pune,https://www.magicbricks.com/panchshil-towers-kharadi-pune-pdpid-4d4235303139383033
₹ 25 Lac,2500000.0,"1 BHK Flat for Sale in Hadapsar, Pune",1.0,Carpet Area 425 sqft,425.0,Hadapsar,Pune,https://www.magicbricks.com/patil-hill-view-hadapsar-pune-pdpid-4d4235303331353331
₹ 1 Cr,10000000.0,"2 BHK Flat for Sale in Hinjawadi, Pune",2.0,Carpet Area 798 sqft,798.0,Hinjawadi,Pune,https://www.magicbricks.com/peninsula-ashok-meadows-hinjewadi-pune-pdpid-4d4235303139363630
₹ 25 Lac,2500000.0,"1 BHK Flat for Sale in Wagholi, Pune",1.0,Carpet Area 403 sqft,403.0,Wagholi,Pune,https://www.magicbricks.com/pristine-neo-city-wagholi-pune-pdpid-4d4235303330353237
₹ 37 Lac,3700000.0,"2 BHK Flat for Sale in Wagholi, Pune",2.0,Carpet Area 630 sqft,630.0,Wagholi,Pune,https://www.magicbricks.com/pristine-neo-city-wagholi-pune-pdpid-4d4235303330353237
₹ 1.20 Cr,12000000.0,"3 BHK Flat for Sale in Baner, Pune",3.0,Carpet Area 970 sqft,970.0,Baner,Pune,https://www.magicbricks.com/saarrthi-souvenir-baner-pune-pdpid-4d4235303238363833
₹ 98.6 Lac,9860000.0,"3 BHK Flat for Sale in Punawale, Pimpri Chinchwad, Pune",3.0,Carpet Area 1275 sqft,1275.0,Punawale,Pune,https://www.magicbricks.com/sentosa-pride-punawale-pune-pdpid-4d4235303832323936
