price_raw,price_num,bhk_raw,bhk_number,area_raw,area_sqft,locality,city,listing_url
Call for Price,,"1 BHK Flat for Sale in Bavdhan, Pune",1.0,Carpet Area 400 sqft,400.0,Bavdhan,Pune,https://www.magicbricks.com/madhav-apartment-bavdhan-pune-pdpid-4d4235303436333738
Call for Price,,1 BHK Flat for Sale in Pune,1.0,Carpet Area 581 sqft,581.0,Pune,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423733373632363437
Call for Price,,"Apartment for Sale in Sant Tukaram Nagar Pimpri Colony, Pune",,Transaction Resale,,Sant Tukaram Nagar Pimpri Colony,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Sant-Tukaram-Nagar-Pimpri-Colony-in-Pune&id=4d423831353833303339
Call for Price,,"1 BHK Flat for Sale in Fursungi, Pune",1.0,Carpet Area 492 sqft,492.0,Fursungi,Pune,https://www.magicbricks.com/aishwarya-greens-phursungi-pune-pdpid-4d4235303330343233
Call for Price,,"2 BHK Flat for Sale in Undri, Pune",2.0,Carpet Area 576 sqft,576.0,Undri,Pune,https://www.magicbricks.com/shree-ganesh-park-undri-pune-pdpid-4d4235303238313836
Call for Price,,"2 BHK Flat for Sale in Hadapsar, Pune",2.0,Carpet Area 751 sqft,751.0,Hadapsar,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Sale-Hadapsar-in-Pune&id=4d423830393731343835
Call for Price,,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 612 sqft,612.0,Chakan,Pune,https://www.magicbricks.com/shree-sai-swapna-nagari-chakan-pune-pdpid-4d4235303236353538
Call for Price,,2 BHK Flat for Sale in Pune,2.0,Transaction Resale,,Pune,Pune,https://www.magicbricks.com/propertyDetails/2-BHK-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423739333530303435
Call for Price,,"3 BHK Flat for Sale in Bavdhan, Pune",3.0,Carpet Area 1488 sqft,1488.0,Bavdhan,Pune,https://www.magicbricks.com/shapoorji-pallonji-vanaha-bavdhan-pune-pdpid-4d4235323239393333
Call for Price,,"2 BHK Flat for Sale in Talegaon Dhamdhere, Pune",2.0,Super Area 650 sqft,650.0,Talegaon Dhamdhere,Pune,https://www.magicbricks.com/anandgram-talegaon-dhamdere-talegaon-dhamdhere-pune-pdpid-4d4235333631303439
Call for Price,,"2 BHK Flat for Sale in Wagholi, Pune",2.0,Super Area 900 sqft,900.0,Wagholi,Pune,https://www.magicbricks.com/avnee-optima-heights-wagholi-pune-pdpid-4d4235303834393038
Call for Price,,"Apartment for Sale in Wakad, Pune",,Transaction Resale,,Wakad,Pune,https://www.magicbricks.com/verve-apartment-wakad-pune-pdpid-4d4235303032313739
Call for Price,,"1 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",1.0,Carpet Area 396 sqft,396.0,Pimple Nilakh,Pune,https://www.magicbricks.com/vaishnavi-sahil-heights-pimple-nilakh-pune-pdpid-4d4235303239383437
Call for Price,,"1 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",1.0,Carpet Area 396 sqft,396.0,Pimple Nilakh,Pune,https://www.magicbricks.com/vaishnavi-sahil-heights-pimple-nilakh-pune-pdpid-4d4235303239383437
Call for Price,,"2 BHK Flat for Sale in Kharadi, Pune",2.0,Carpet Area 70 sqm,70.0,Kharadi,Pune,https://www.magicbricks.com/duville-riverdale-grand-kharadi-pune-pdpid-4d4235333335323135
Call for Price,,"1 BHK Flat for Sale in Charholi BK, Pune",1.0,Carpet Area 432 sqft,432.0,Charholi BK,Pune,https://www.magicbricks.com/tanish-orchid-charholi-budruk-pune-pdpid-4d4235303237323539
Call for Price,,"2 BHK Flat for Sale in Punawale, Pimpri Chinchwad, Pune",2.0,Carpet Area 846 sqft,846.0,Punawale,Pune,https://www.magicbricks.com/anp-autograph-punawale-pune-pdpid-4d4235343136393131
Call for Price,,"1 BHK Flat for Sale in Alandi, Kelgaon, Pune",1.0,Carpet Area 439 sqft,439.0,Alandi,Pune,https://www.magicbricks.com/ganesh-gods-county-alandi-pune-pdpid-4d4235303236373133
Call for Price,,"1 BHK Flat for Sale in Chakan, Pune",1.0,Carpet Area 432 sqft,432.0,Chakan,Pune,https://www.magicbricks.com/kanchi-enclave-chakan-pune-pdpid-4d4235303236363334
Call for Price,,"2 BHK Flat for Sale in Chinchwad Gaon, Pimpri Chinchwad, Pune",2.0,Carpet Area 807 sqft,807.0,Chinchwad Gaon,Pune,https://www.magicbricks.com/khivansara-sai-suman-park-chinchwad-gaon-pune-pdpid-4d4235303837363835
Call for Price,,"Apartment for Sale in Dighi, Pune",,Transaction Resale,,Dighi,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Dighi-in-Pune&id=4d423737393735393937
Call for Price,,"1 BHK Flat for Sale in Kirkatwadi, Pune",1.0,Carpet Area 390 sqft,390.0,Kirkatwadi,Pune,https://www.magicbricks.com/shree-malhar-kamal-green-leaf-kirkatwadi-pune-pdpid-4d4235303237323039
Call for Price,,"Apartment for Sale in Kharadi, Pune",,Transaction Resale,,Kharadi,Pune,https://www.magicbricks.com/vandana-residency-kharadi-pune-pdpid-4d4235313234333437
Call for Price,,"1 BHK Flat for Sale in Chakan, Pune",1.0,Carpet Area 396 sqft,396.0,Chakan,Pune,https://www.magicbricks.com/shree-sai-swapna-nagari-chakan-pune-pdpid-4d4235303236353538
Call for Price,,"1 BHK Flat for Sale in Ravet, Pimpri Chinchwad, Pune",1.0,Carpet Area 510 sqft,510.0,Ravet,Pune,https://www.magicbricks.com/sai-vista-ravet-pune-pdpid-4d4235303338323334
Call for Price,,"1 BHK Flat for Sale in Kharadi, Pune",1.0,Carpet Area 403 sqft,403.0,Kharadi,Pune,https://www.magicbricks.com/sai-sadan-kharadi-pune-pdpid-4d4235303239333132
Call for Price,,"1 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",1.0,Carpet Area 432 sqft,432.0,Pimple Nilakh,Pune,https://www.magicbricks.com/gulmohar-park-pimple-nilakh-pune-pdpid-4d4235303239303636
Call for Price,,"1 BHK Flat for Sale in Balewadi, Pune",1.0,Carpet Area 144 sqft,144.0,Balewadi,Pune,https://www.magicbricks.com/propertyDetails/1-BHK-200-Sq-ft-Multistorey-Apartment-FOR-Sale-Balewadi-in-Pune&id=4d423735363637343331
Call for Price,,"2 BHK Flat for Sale in Kharadi, Pune",2.0,Carpet Area 609 sqft,609.0,Kharadi,Pune,https://www.magicbricks.com/ayaan-kharadi-pune-pdpid-4d4235303232323532
Call for Price,,"1 BHK Flat for Sale in Kharadi, Pune",1.0,Carpet Area 531 sqft,531.0,Kharadi,Pune,https://www.magicbricks.com/ayaan-kharadi-pune-pdpid-4d4235303232323532
Call for Price,,"1 BHK Flat for Sale in Wakad, Pune",1.0,Carpet Area 432 sqft,432.0,Wakad,Pune,https://www.magicbricks.com/emerald-wakad-pune-pdpid-4d4235303232323036
Call for Price,,"2 BHK Flat for Sale in Chakan, Pune",2.0,Carpet Area 537 sqft,537.0,Chakan,Pune,https://www.magicbricks.com/naiknavare-dwarka-township-chakan-pune-pdpid-4d4235303230323730
Call for Price,,"2 BHK Flat for Sale in Sinhgad Road, Pune",2.0,Carpet Area 864 sqft,864.0,Sinhgad Road,Pune,https://www.magicbricks.com/nanded-city-sinhgad-road-pune-pdpid-4d4235303230323538
Call for Price,,"4 BHK Flat for Sale in Pimple Nilakh, Pimpri Chinchwad, Pune",4.0,Carpet Area 2880 sqft,2880.0,Pimple Nilakh,Pune,https://www.magicbricks.com/kolte-patil-24k-atria-pimple-nilakh-pune-pdpid-4d4235303932383234
Call for Price,,"Apartment for Sale in Kharadi, Pune",,Transaction Resale,,Kharadi,Pune,https://www.magicbricks.com/propertyDetails/Multistorey-Apartment-FOR-Sale-Kharadi-in-Pune&id=4d423830363730333437
Call for Price,,"Apartment for Sale in Patil Nagar Balewadi, Pune",,Status Ready to Move,,Patil Nagar Balewadi,Pune,https://www.magicbricks.com/vatika-homes-patil-nagar-balewadi-pune-pdpid-4d4235303034313233
Call for Price,,3 BHK Flat for Sale in Pune,3.0,Status Ready to Move,,Pune,Pune,https://www.magicbricks.com/propertyDetails/3-BHK-Multistorey-Apartment-FOR-Sale-in-Pune&id=4d423830393537343831
Call for Price,,"2 BHK Flat for Sale in Moshi, Pune",2.0,Carpet Area 663 sqft,663.0,Moshi,Pune,https://www.magicbricks.com/mangalam-life-park-moshi-pune-pdpid-4d4235333638363733
Call for Price,,"2 BHK Flat for Sale in Pimple Saudagar, Pimpri Chinchwad, Pune",2.0,Carpet Area 850 sqft,850.0,Pimple Saudagar,Pune,https://www.magicbricks.com/gk-roseland-residency-pimple-saudagar-pune-pdpid-4d4235303030393635
